symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-09-25 00:00:00+00:00,112.28,112.44,107.67,108.43,149981441,109.22754914,109.3831993703,104.7428768784,105.4822154725,149981441,0.0,1.0
AAPL,2020-09-28 00:00:00+00:00,114.96,115.32,112.78,115.01,137672403,111.8346904982,112.1849035164,109.7139561098,111.8833311952,137672403,0.0,1.0
AAPL,2020-09-29 00:00:00+00:00,114.09,115.31,113.57,114.55,100060526,110.9883423707,112.175175377,110.4824791221,111.4358367829,100060526,0.0,1.0
AAPL,2020-09-30 00:00:00+00:00,115.81,117.26,113.62,113.79,142675184,112.6615823469,114.0721625593,110.5311198191,110.6964981888,142675184,0.0,1.0
AAPL,2020-10-01 00:00:00+00:00,116.79,117.72,115.83,117.64,116120440,113.6149400077,114.5196569715,112.6810386256,114.4418318564,116120440,0.0,1.0
AAPL,2020-10-02 00:00:00+00:00,113.02,115.37,112.22,112.89,144711986,109.9474314553,112.2335442134,109.1691803036,109.8209656432,144711986,0.0,1.0
AAPL,2020-10-05 00:00:00+00:00,116.5,116.65,113.55,113.91,106243839,113.3328239652,113.4787460561,110.4630228433,110.8132358616,106243839,0.0,1.0
AAPL,2020-10-06 00:00:00+00:00,113.16,116.12,112.25,115.7,161498212,110.0836254069,112.9631546681,109.1983647218,112.5545728135,161498212,0.0,1.0
AAPL,2020-10-07 00:00:00+00:00,115.08,115.55,114.13,114.62,96848985,111.9514281709,112.4086507226,111.0272549283,111.5039337587,96848985,0.0,1.0
AAPL,2020-10-08 00:00:00+00:00,114.97,116.4,114.5901,116.25,83477153,111.8444186376,113.2355425712,111.4748466219,113.0896204803,83477153,0.0,1.0
AAPL,2020-10-09 00:00:00+00:00,116.97,117.0,114.92,115.28,100506865,113.7900465168,113.819230935,111.7957779406,112.1459909589,100506865,0.0,1.0
AAPL,2020-10-12 00:00:00+00:00,124.4,125.18,119.2845,120.06,240226769,121.0180540881,121.7768489611,116.04162438,116.7960415902,240226769,0.0,1.0
AAPL,2020-10-13 00:00:00+00:00,121.1,125.39,119.65,125.27,262330451,117.8077680874,121.9811398884,116.397187875,121.8644022156,262330451,0.0,1.0
AAPL,2020-10-14 00:00:00+00:00,121.19,123.03,119.62,121.0,151062308,117.895321342,119.6852989909,116.3680034568,117.7104866935,151062308,0.0,1.0
AAPL,2020-10-15 00:00:00+00:00,120.71,121.2,118.15,118.72,112559219,117.428370651,117.9050494814,114.9379669656,115.4924709111,112559219,0.0,1.0
AAPL,2020-10-16 00:00:00+00:00,119.02,121.548,118.81,121.28,115393808,115.784315093,118.2435887324,115.5800241657,117.9828745966,115393808,0.0,1.0
AAPL,2020-10-19 00:00:00+00:00,115.98,120.419,115.66,119.96,120639337,112.8269607166,117.1452817945,112.5156602559,116.6987601963,120639337,0.0,1.0
AAPL,2020-10-20 00:00:00+00:00,117.51,118.98,115.63,116.2,124423728,114.3153660442,115.7454025354,112.4864758377,113.0409797833,124423728,0.0,1.0
AAPL,2020-10-21 00:00:00+00:00,116.87,118.705,116.45,116.67,89945980,113.6927651228,115.477878702,113.2841832682,113.4982023349,89945980,0.0,1.0
AAPL,2020-10-22 00:00:00+00:00,115.75,118.04,114.59,117.45,101987954,112.6032135105,114.8309574322,111.4747493405,114.2569972078,101987954,0.0,1.0
AAPL,2020-10-23 00:00:00+00:00,115.04,116.55,114.28,116.39,82572645,111.9125156133,113.3814646622,111.1731770192,113.2258144318,82572645,0.0,1.0
AAPL,2020-10-26 00:00:00+00:00,115.05,116.55,112.88,114.01,111850657,111.9222437527,113.3814646622,109.8112375038,110.9105172555,111850657,0.0,1.0
AAPL,2020-10-27 00:00:00+00:00,116.6,117.28,114.5399,115.49,92276772,113.4301053592,114.0916188381,111.4260113621,112.3502818862,92276772,0.0,1.0
AAPL,2020-10-28 00:00:00+00:00,111.2,115.43,111.1,115.05,143937823,108.1769100852,112.2919130498,108.0796286913,111.9222437527,143937823,0.0,1.0
AAPL,2020-10-29 00:00:00+00:00,115.32,116.93,112.2,112.37,146129173,112.1849035164,113.7511339592,109.1497240248,109.3151023946,146129173,0.0,1.0
AAPL,2020-10-30 00:00:00+00:00,108.86,111.99,107.72,111.06,190573476,105.9005254665,108.9454330975,104.7915175754,108.0407161337,190573476,0.0,1.0
AAPL,2020-11-02 00:00:00+00:00,108.77,110.68,107.32,109.11,122866899,105.812972212,107.6710468366,104.4023919995,106.1437289514,122866899,0.0,1.0
AAPL,2020-11-03 00:00:00+00:00,110.44,111.49,108.73,109.66,107624448,107.4375714911,108.4590261277,105.7740596544,106.6787766182,107624448,0.0,1.0
AAPL,2020-11-04 00:00:00+00:00,114.95,115.59,112.35,114.14,138235482,111.8249623588,112.4475632801,109.2956461158,111.0369830677,138235482,0.0,1.0
AAPL,2020-11-05 00:00:00+00:00,119.03,119.62,116.8686,117.95,126387074,115.7940432324,116.3680034568,113.6914031833,114.7434041776,126387074,0.0,1.0
AAPL,2020-11-06 00:00:00+00:00,118.69,119.2,116.13,118.32,114457922,115.6627133506,116.1597053786,113.1680082686,115.3021505067,114457922,0.205,1.0
AAPL,2020-11-09 00:00:00+00:00,116.32,121.99,116.05,120.5,154515315,113.3531621614,118.8785441203,113.0900487348,117.426547803,154515315,0.0,1.0
AAPL,2020-11-10 00:00:00+00:00,115.97,117.59,114.13,115.55,138023390,113.012089201,114.5907697607,111.2190199233,112.6028016485,138023390,0.0,1.0
AAPL,2020-11-11 00:00:00+00:00,119.49,119.63,116.44,117.19,112294954,116.4423086887,116.5787378728,113.4701014621,114.2009720916,112294954,0.0,1.0
AAPL,2020-11-12 00:00:00+00:00,119.21,120.53,118.57,119.62,103350674,116.1694503203,117.4557826282,115.5457740499,116.5689929311,103350674,0.0,1.0
AAPL,2020-11-13 00:00:00+00:00,119.26,119.6717,117.87,119.44,81688586,116.218175029,116.6193742798,114.863628129,116.39358398,81688586,0.0,1.0
AAPL,2020-11-16 00:00:00+00:00,120.3,120.99,118.146,118.92,91183018,117.2316489685,117.9040499476,115.1325885207,115.8868470103,91183018,0.0,1.0
AAPL,2020-11-17 00:00:00+00:00,119.39,120.6741,118.96,119.55,74270973,116.3448592714,117.5962072385,115.9258267772,116.500778339,74270973,0.0,1.0
AAPL,2020-11-18 00:00:00+00:00,118.03,119.82,118.0,118.61,76322111,115.0195471966,116.7638917657,114.9903123714,115.5847538168,76322111,0.0,1.0
AAPL,2020-11-19 00:00:00+00:00,118.64,119.06,116.81,117.59,74112972,115.6139886419,116.0232761944,113.830664306,114.5907697607,74112972,0.0,1.0
AAPL,2020-11-20 00:00:00+00:00,117.34,118.77,117.29,118.64,73604287,114.3471462175,115.7406728844,114.2984215089,115.6139886419,73604287,0.0,1.0
AAPL,2020-11-23 00:00:00+00:00,113.85,117.6202,113.75,117.18,127959318,110.946161555,114.6201994847,110.8487121377,114.1912271499,127959318,0.0,1.0
AAPL,2020-11-24 00:00:00+00:00,115.17,115.85,112.59,113.91,113226248,112.2324938629,112.8951499003,109.7182988975,111.0046312054,113226248,0.0,1.0
AAPL,2020-11-25 00:00:00+00:00,116.03,116.75,115.17,115.55,76499234,113.0705588513,113.7721946556,112.2324938629,112.6028016485,76499234,0.0,1.0
AAPL,2020-11-27 00:00:00+00:00,116.59,117.49,116.22,116.57,46691331,113.616275588,114.4933203434,113.2557127441,113.5967857046,46691331,0.0,1.0
AAPL,2020-11-30 00:00:00+00:00,119.05,120.97,116.81,116.97,169410176,116.0135312527,117.8845600642,113.830664306,113.9865833736,169410176,0.0,1.0
AAPL,2020-12-01 00:00:00+00:00,122.72,123.4693,120.01,121.01,125920963,119.5899248663,120.3201133499,116.9490456585,117.9235398311,125920963,0.0,1.0
AAPL,2020-12-02 00:00:00+00:00,123.08,123.37,120.89,122.02,89004195,119.9407427685,120.2233460785,117.8066005304,118.9077789455,89004195,0.0,1.0
AAPL,2020-12-03 00:00:00+00:00,122.94,123.78,122.21,123.52,78967630,119.8043135843,120.6228886893,119.0929328383,120.3695202044,78967630,0.0,1.0
AAPL,2020-12-04 00:00:00+00:00,122.25,122.8608,121.52,122.6,78260421,119.1319126052,119.7271336458,118.4205318591,119.4729855656,78260421,0.0,1.0
AAPL,2020-12-07 00:00:00+00:00,123.75,124.57,122.25,122.31,86711990,120.5936538641,121.3927390857,119.1319126052,119.1903822555,86711990,0.0,1.0
AAPL,2020-12-08 00:00:00+00:00,124.38,124.98,123.09,124.37,82225512,121.2075851929,121.7922816965,119.9504877102,121.1978402512,82225512,0.0,1.0
AAPL,2020-12-09 00:00:00+00:00,121.78,125.95,121.0,124.53,115089193,118.673900344,122.7375410439,117.9137948894,121.3537593188,115089193,0.0,1.0
AAPL,2020-12-10 00:00:00+00:00,123.24,123.87,120.15,120.5,81312170,120.0966618361,120.7105931648,117.0854748426,117.426547803,81312170,0.0,1.0
