symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2020-09-28 00:00:00+00:00,421.2,428.08,415.55,424.62,49719561,140.4,142.6933333333,138.5166666667,141.54,149158683,0.0,1.0
TSLA,2020-09-29 00:00:00+00:00,419.07,428.5,411.6,416.0,50341404,139.69,142.8333333333,137.2,138.6666666667,151024212,0.0,1.0
TSLA,2020-09-30 00:00:00+00:00,429.01,433.93,420.47,421.32,48145566,143.0033333333,144.6433333333,140.1566666667,140.44,144436698,0.0,1.0
TSLA,2020-10-01 00:00:00+00:00,448.16,448.88,434.42,440.76,50741454,149.3866666667,149.6266666667,144.8066666667,146.92,152224362,0.0,1.0
TSLA,2020-10-02 00:00:00+00:00,415.09,439.13,415.0,421.39,71430025,138.3633333333,146.3766666667,138.3333333333,140.4633333333,214290075,0.0,1.0
TSLA,2020-10-05 00:00:00+00:00,425.68,433.64,419.33,423.35,44722786,141.8933333333,144.5466666667,139.7766666667,141.1166666667,134168358,0.0,1.0
TSLA,2020-10-06 00:00:00+00:00,413.98,428.7799,406.05,423.79,49146259,137.9933333333,142.9266333333,135.35,141.2633333333,147438777,0.0,1.0
TSLA,2020-10-07 00:00:00+00:00,425.3,429.9,413.845,419.87,43127709,141.7666666667,143.3,137.9483333333,139.9566666667,129383127,0.0,1.0
TSLA,2020-10-08 00:00:00+00:00,425.92,439.0,425.3,438.44,40421116,141.9733333333,146.3333333333,141.7666666667,146.1466666667,121263348,0.0,1.0
TSLA,2020-10-09 00:00:00+00:00,434.0,434.5899,426.4601,430.13,28925656,144.6666666667,144.8633,142.1533666667,143.3766666667,86776968,0.0,1.0
TSLA,2020-10-12 00:00:00+00:00,442.3,448.74,438.58,442.0,38791133,147.4333333333,149.58,146.1933333333,147.3333333333,116373399,0.0,1.0
TSLA,2020-10-13 00:00:00+00:00,446.65,448.89,436.6,443.35,34463665,148.8833333333,149.63,145.5333333333,147.7833333333,103390995,0.0,1.0
TSLA,2020-10-14 00:00:00+00:00,461.3,465.9,447.35,449.78,48045394,153.7666666667,155.3,149.1166666667,149.9266666667,144136182,0.0,1.0
TSLA,2020-10-15 00:00:00+00:00,448.88,456.57,442.5,450.31,35672354,149.6266666667,152.19,147.5,150.1033333333,107017062,0.0,1.0
TSLA,2020-10-16 00:00:00+00:00,439.67,455.9499,438.85,454.44,32775879,146.5566666667,151.9833,146.2833333333,151.48,98327637,0.0,1.0
TSLA,2020-10-19 00:00:00+00:00,430.83,447.0,428.87,446.24,36287843,143.61,149.0,142.9566666667,148.7466666667,108863529,0.0,1.0
TSLA,2020-10-20 00:00:00+00:00,421.94,431.75,419.0501,431.75,31656289,140.6466666667,143.9166666667,139.6833666667,143.9166666667,94968867,0.0,1.0
TSLA,2020-10-21 00:00:00+00:00,422.64,432.95,421.25,422.7,32370461,140.88,144.3166666667,140.4166666667,140.9,97111383,0.0,1.0
TSLA,2020-10-22 00:00:00+00:00,425.79,445.23,424.51,441.92,39993191,141.93,148.41,141.5033333333,147.3066666667,119979573,0.0,1.0
TSLA,2020-10-23 00:00:00+00:00,420.63,422.8859,407.3801,421.84,33716980,140.21,140.9619666667,135.7933666667,140.6133333333,101150940,0.0,1.0
TSLA,2020-10-26 00:00:00+00:00,420.28,425.76,410.0,411.63,28239161,140.0933333333,141.92,136.6666666667,137.21,84717483,0.0,1.0
TSLA,2020-10-27 00:00:00+00:00,424.68,430.5,420.1,423.76,22686506,141.56,143.5,140.0333333333,141.2533333333,68059518,0.0,1.0
TSLA,2020-10-28 00:00:00+00:00,406.02,418.6,406.0,416.48,25451409,135.34,139.5333333333,135.3333333333,138.8266666667,76354227,0.0,1.0
TSLA,2020-10-29 00:00:00+00:00,410.83,418.06,406.46,409.96,22655308,136.9433333333,139.3533333333,135.4866666667,136.6533333333,67965924,0.0,1.0
TSLA,2020-10-30 00:00:00+00:00,388.04,407.5915,379.11,406.8954,42587639,129.3466666667,135.8638333333,126.37,135.6318,127762917,0.0,1.0
TSLA,2020-11-02 00:00:00+00:00,400.51,406.9799,392.3,394.0,29021118,133.5033333333,135.6599666667,130.7666666667,131.3333333333,87063354,0.0,1.0
TSLA,2020-11-03 00:00:00+00:00,423.9,427.77,406.69,409.73,34351715,141.3,142.59,135.5633333333,136.5766666667,103055145,0.0,1.0
TSLA,2020-11-04 00:00:00+00:00,420.98,435.4,417.1,430.62,32143057,140.3266666667,145.1333333333,139.0333333333,143.54,96429171,0.0,1.0
TSLA,2020-11-05 00:00:00+00:00,438.09,440.0,424.0001,428.3,28414523,146.03,146.6666666667,141.3333666667,142.7666666667,85243569,0.0,1.0
TSLA,2020-11-06 00:00:00+00:00,429.95,436.57,424.28,436.1,21706014,143.3166666667,145.5233333333,141.4266666667,145.3666666667,65118042,0.0,1.0
TSLA,2020-11-09 00:00:00+00:00,421.26,452.5,421.0,439.5,34833025,140.42,150.8333333333,140.3333333333,146.5,104499075,0.0,1.0
TSLA,2020-11-10 00:00:00+00:00,410.36,420.09,396.0301,420.09,30284224,136.7866666667,140.03,132.0100333333,140.03,90852672,0.0,1.0
TSLA,2020-11-11 00:00:00+00:00,417.13,418.695,410.58,416.45,17357722,139.0433333333,139.565,136.86,138.8166666667,52073166,0.0,1.0
TSLA,2020-11-12 00:00:00+00:00,411.76,423.0,409.52,415.05,19940500,137.2533333333,141.0,136.5066666667,138.35,59821500,0.0,1.0
TSLA,2020-11-13 00:00:00+00:00,408.5,412.5319,401.66,410.85,19830351,136.1666666667,137.5106333333,133.8866666667,136.95,59491053,0.0,1.0
TSLA,2020-11-16 00:00:00+00:00,408.09,412.45,404.0868,408.93,26838635,136.03,137.4833333333,134.6956,136.31,80515905,0.0,1.0
TSLA,2020-11-17 00:00:00+00:00,441.61,462.0,433.01,460.17,61188281,147.2033333333,154.0,144.3366666667,153.39,183564843,0.0,1.0
TSLA,2020-11-18 00:00:00+00:00,486.64,496.0,443.5001,448.35,78044024,162.2133333333,165.3333333333,147.8333666667,149.45,234132072,0.0,1.0
TSLA,2020-11-19 00:00:00+00:00,499.27,508.6112,487.57,492.0,62475346,166.4233333333,169.5370666667,162.5233333333,164.0,187426038,0.0,1.0
TSLA,2020-11-20 00:00:00+00:00,489.61,502.5,489.06,497.99,32911922,163.2033333333,167.5,163.02,165.9966666667,98735766,0.0,1.0
TSLA,2020-11-23 00:00:00+00:00,521.85,526.0,501.79,503.5,50260304,173.95,175.3333333333,167.2633333333,167.8333333333,150780912,0.0,1.0
TSLA,2020-11-24 00:00:00+00:00,555.38,559.99,526.2,540.4,52058771,185.1266666667,186.6633333333,175.4,180.1333333333,156176313,0.0,1.0
TSLA,2020-11-25 00:00:00+00:00,574.0,574.0,545.37,550.06,48930162,191.3333333333,191.3333333333,181.79,183.3533333333,146790486,0.0,1.0
TSLA,2020-11-27 00:00:00+00:00,585.76,598.78,578.45,581.16,37561078,195.2533333333,199.5933333333,192.8166666667,193.72,112683234,0.0,1.0
TSLA,2020-11-30 00:00:00+00:00,567.6,607.8,554.51,602.21,63003052,189.2,202.6,184.8366666667,200.7366666667,189009156,0.0,1.0
TSLA,2020-12-01 00:00:00+00:00,584.76,597.85,572.05,597.59,39133346,194.92,199.2833333333,190.6833333333,199.1966666667,117400038,0.0,1.0
